City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
628,Phuket,TH,87.01,scattered clouds,8.0,98.25,The Surin Phuket
629,Sitamau,IN,84.42,scattered clouds,24.0167,75.35,Hotel Kisna
633,Huntington,US,84.45,clear sky,38.4193,-82.4452,Ramada Limited Huntington
634,Sioux Lookout,CA,77.38,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
639,Mokolo,CM,83.08,overcast clouds,10.7398,13.8019,Diwa Hôtel
646,Balkanabat,TM,75.18,clear sky,39.5108,54.3671,Nebitchi Hotel
647,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
656,Kieta,PG,81.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
660,Alampur,IN,83.95,broken clouds,15.8833,78.15,Haritha Hotel Alampur
661,Basco,PH,83.66,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
663,Chickasha,US,84.52,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
666,Biltine,TD,89.65,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
670,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
679,Gizo,SB,82.29,scattered clouds,-8.103,156.8419,Imagination Island
681,Matagami,CA,84.31,clear sky,49.7502,-77.6328,Hôtel Matagami
684,Truckee,US,83.55,clear sky,39.328,-120.1833,Truckee Donner Lodge
